service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2025-05-10_Mar25_May10_2025,0,0,0,0,0,1,0,20250510,20250511
LLR_2025-05-11_Mar25_2025_Pine_SB_DRLE_Sunday,0,0,0,0,0,0,1,20250511,20250512
LLR_2025-05-12_Mar25_Spring2025_DRLE_Weekday,1,1,1,1,1,0,0,20250512,20250516
LLR_2025-05-17_Mar25_Spring2025_DRLE_Saturday,0,0,0,0,0,1,0,20250517,20250829
LLR_2025-05-17_Mar25_Spring2025_DRLE_Sunday,0,0,0,0,0,0,1,20250517,20250829
LLR_2025-05-19_May13_Combined_May_June_2025_ALS_Closure,1,1,1,1,1,0,0,20250519,20250523
LLR_2025-05-26_Feb19_Spring2025_DRLE_Sunday-Memorial,1,0,0,0,0,0,0,20250526,20250526
LLR_2025-05-27_May13_Combined_2025_ALS_Closure_Pinehurst,1,1,1,1,1,0,0,20250527,20250529
LLR_2025-05-30_May13_Combined_May_June_2025_ALS_Closure,1,1,1,1,1,0,0,20250530,20250612
LLR_2025-06-13_Mar25_Spring2025_DRLE_Weekday,1,1,1,1,1,0,0,20250613,20250829
SNDR_Fall2024_Weekday,1,1,1,1,1,0,0,20250404,20250829
TLINE_2023_HTLE12_Saturday,0,0,0,0,0,1,0,20250404,20250829
TLINE_2023_HTLE12_Sunday,0,0,0,0,0,0,1,20250404,20250829
TLINE_2023_HTLE12_Weekday,1,1,1,1,1,0,0,20250404,20250829
