service_id,date,exception_type
LLR_2025-05-11_Mar25_2025_Pine_SB_DRLE_Sunday,20250511,2
LLR_2025-05-11_Mar25_Spring2025_DRLE_Sunday,20250511,1
LLR_2025-05-17_Mar25_Spring2025_DRLE_Sunday,20250615,2
LLR_2025-05-26_Feb19_Spring2025_DRLE_Sunday-Memorial,20250526,2
LLR_2025-05-26_May13_Combined_May26_2025,20250526,1
LLR_2025-06-13_Mar25_Spring2025_DRLE_Weekday,20250623,2
LLR_2025-06-13_Mar25_Spring2025_DRLE_Weekday,20250704,2
LLR_2025-06-15_May12_Combined_June15_2025_CWC,20250615,1
LLR_2025-06-23_May12_Combined_June23_2025_CWC,20250623,1
LLR_2025-07-04_Apr18_Combined_July4_2025,20250704,1
SNDR_CWC1200_Weekday,20250617,1
SNDR_CWC1200_Weekday,20250623,1
SNDR_CWC1200_Weekend_Added,20250621,1
SNDR_CWC1500_Weekday_Added,20250619,1
SNDR_CWC1800_Weekday_Added,20250625,1
SNDR_Fall2024_Weekday,20250526,2
SNDR_Fall2024_Weekday,20250617,2
SNDR_Fall2024_Weekday,20250623,2
SNDR_Fall2024_Weekday,20250704,2
SOUNDER_GAMEDAY_1100F,20250629,1
SOUNDER_GAMEDAY_1310,20250413,1
SOUNDER_GAMEDAY_1310,20250427,1
SOUNDER_GAMEDAY_1310,20250511,1
SOUNDER_GAMEDAY_1310,20250601,1
SOUNDER_GAMEDAY_1310,20250615,1
SOUNDER_GAMEDAY_1310,20250706,1
SOUNDER_GAMEDAY_1310,20250720,1
SOUNDER_GAMEDAY_1310,20250803,1
SOUNDER_GAMEDAY_1310,20250810,1
SOUNDER_GAMEDAY_1310,20250824,1
SOUNDER_GAMEDAY_1900,20250517,1
TLINE_2023_HTLE12_Sunday,20250526,1
TLINE_2023_HTLE12_Sunday,20250704,1
TLINE_2023_HTLE12_Weekday,20250526,2
TLINE_2023_HTLE12_Weekday,20250704,2
